43.507 0 38.8307065963881 "LDA" 1 2 3 1.5
335.496496496496 1 299.155229672856 "LDA" 1 2 3 3.7979797979798
345.557557557558 1 309.447112559454 "LDA" 1 2 3 3.83333333333333
356.341341341341 1 317.389124443849 "LDA" 1 2 3 3.86868686868687
364.035035035035 1 325.552368233897 "LDA" 1 2 3 3.9040404040404
374.877755511022 2 334.224387064886 "LDA" 1 2 3 3.93939393939394
379.737211634905 3 334.541695058146 "LDA" 1 2 3 3.97474747474747
388.518555667001 3 337.858634244642 "LDA" 1 2 3 4.01010101010101
396.070210631896 3 342.973808355869 "LDA" 1 2 3 4.04545454545454
403.685427135678 5 345.738044349413 "LDA" 1 2 3 4.08080808080808
413.042211055276 5 352.336818440692 "LDA" 1 2 3 4.11616161616162
421.159798994975 5 358.54024914015 "LDA" 1 2 3 4.15151515151515
426.186934673367 5 361.582812105625 "LDA" 1 2 3 4.18686868686869
438.540703517588 5 370.721547656579 "LDA" 1 2 3 4.22222222222222
446.345105953582 9 373.60888096122 "LDA" 1 2 3 4.25757575757576
451.668686868687 10 374.095592009399 "LDA" 1 2 3 4.29292929292929
456.875757575758 10 375.041853705046 "LDA" 1 2 3 4.32828282828283
466.29696969697 10 383.399912774085 "LDA" 1 2 3 4.36363636363636
473.564206268959 11 390.961416411352 "LDA" 1 2 3 4.3989898989899
483.114372469636 12 396.173754103726 "LDA" 1 2 3 4.43434343434343
489.275303643725 12 397.636644222053 "LDA" 1 2 3 4.46969696969697
497.310728744939 12 401.473539153707 "LDA" 1 2 3 4.50505050505051
504.901821862348 12 407.290458027591 "LDA" 1 2 3 4.54040404040404
516.240609137056 15 415.197516391313 "LDA" 1 2 3 4.57575757575758
524.318413021363 17 419.279040478834 "LDA" 1 2 3 4.61111111111111
534.034658511723 19 422.93494315852 "LDA" 1 2 3 4.64646464646465
541.580942622951 24 428.078151989567 "LDA" 1 2 3 4.68181818181818
551.329218106996 28 428.852619387735 "LDA" 1 2 3 4.71717171717172
556.105371900826 32 429.290091523813 "LDA" 1 2 3 4.75252525252525
564.40518134715 35 435.052587289819 "LDA" 1 2 3 4.78787878787879
571.292834890966 37 440.698490445375 "LDA" 1 2 3 4.82323232323232
582.670820353063 37 446.557680026322 "LDA" 1 2 3 4.85858585858586
597.057172557173 38 453.819915802158 "LDA" 1 2 3 4.89393939393939
603.499478623566 41 456.768880025385 "LDA" 1 2 3 4.92929292929293
612.018828451883 44 459.513805956919 "LDA" 1 2 3 4.96464646464646
619.281808622503 49 462.99778387021 "LDA" 1 2 3 5
74.22 0 67.657883422327 "uLSIF" 1 2 3 1.5
79.478 0 71.9400228168082 "uLSIF" 1 2 3 1.53535353535354
84.044 0 75.651670432577 "uLSIF" 1 2 3 1.57070707070707
88.576 0 79.2537404756355 "uLSIF" 1 2 3 1.60606060606061
94.587 0 84.613437850408 "uLSIF" 1 2 3 1.64141414141414
99.069 0 87.9071778122294 "uLSIF" 1 2 3 1.67676767676768
106.505 0 98.7229162311831 "uLSIF" 1 2 3 1.71212121212121
111.612 0 102.433090327267 "uLSIF" 1 2 3 1.74747474747475
118.065 0 109.243841895056 "uLSIF" 1 2 3 1.78282828282828
124.696 0 114.600876719792 "uLSIF" 1 2 3 1.81818181818182
131.415 0 119.965922651383 "uLSIF" 1 2 3 1.85353535353535
142.741 0 132.821713309709 "uLSIF" 1 2 3 1.88888888888889
149.413 0 137.63076930563 "uLSIF" 1 2 3 1.92424242424242
157.017 0 144.425231031002 "uLSIF" 1 2 3 1.95959595959596
164.793 0 151.834376307965 "uLSIF" 1 2 3 1.99494949494949
173.481 0 159.17659635709 "uLSIF" 1 2 3 2.03030303030303
184.754 0 173.82163687368 "uLSIF" 1 2 3 2.06565656565657
200.363 0 187.866668454295 "uLSIF" 1 2 3 2.1010101010101
211.395 0 197.212879637449 "uLSIF" 1 2 3 2.13636363636364
225.299 0 212.753015124215 "uLSIF" 1 2 3 2.17171717171717
240.704 0 226.917597334319 "uLSIF" 1 2 3 2.20707070707071
250.829 0 235.852814927678 "uLSIF" 1 2 3 2.24242424242424
261.658 0 248.887062351191 "uLSIF" 1 2 3 2.27777777777778
276.957 0 259.499755827003 "uLSIF" 1 2 3 2.31313131313131
289.433433433433 1 263.099646848236 "uLSIF" 1 2 3 2.34848484848485
302.847847847848 1 272.822813283216 "uLSIF" 1 2 3 2.38383838383838
319.296296296296 1 288.091648424734 "uLSIF" 1 2 3 2.41919191919192
337.096096096096 1 306.060413526858 "uLSIF" 1 2 3 2.45454545454545
357.516516516517 1 322.386372888691 "uLSIF" 1 2 3 2.48989898989899
372.693693693694 1 334.11752319938 "uLSIF" 1 2 3 2.52525252525253
390.110441767068 4 351.352227530092 "uLSIF" 1 2 3 2.56060606060606
404.762575452716 6 359.671258046651 "uLSIF" 1 2 3 2.5959595959596
422.524722502523 9 370.494653165932 "uLSIF" 1 2 3 2.63131313131313
442.491405460061 11 385.204800117219 "uLSIF" 1 2 3 2.66666666666667
451.029441624365 15 387.421439907228 "uLSIF" 1 2 3 2.7020202020202
466.416666666667 16 395.621379422577 "uLSIF" 1 2 3 2.73737373737374
493.174134419552 18 411.691608925105 "uLSIF" 1 2 3 2.77272727272727
511.610030706244 23 423.25893184065 "uLSIF" 1 2 3 2.80808080808081
528.540679711637 29 438.69338462597 "uLSIF" 1 2 3 2.84343434343434
555.245850622407 36 450.130080118422 "uLSIF" 1 2 3 2.87878787878788
567.935349322211 41 454.168084810683 "uLSIF" 1 2 3 2.91414141414141
585.252356020942 45 465.844844855233 "uLSIF" 1 2 3 2.94949494949495
603.261327713382 51 470.251518559502 "uLSIF" 1 2 3 2.98484848484848
620.1573875803 66 478.800329449835 "uLSIF" 1 2 3 3.02020202020202
639.508733624454 84 492.13825962864 "uLSIF" 1 2 3 3.05555555555556
659.160398230089 96 501.041075345134 "uLSIF" 1 2 3 3.09090909090909
683.556933483653 113 511.56504309079 "uLSIF" 1 2 3 3.12626262626263
695.193103448276 130 511.783932444341 "uLSIF" 1 2 3 3.16161616161616
704.199300699301 142 510.949621448912 "uLSIF" 1 2 3 3.1969696969697
708.302491103203 157 508.897347731572 "uLSIF" 1 2 3 3.23232323232323
718.084848484849 175 513.27318193809 "uLSIF" 1 2 3 3.26767676767677
735.759305210918 194 521.990434820161 "uLSIF" 1 2 3 3.3030303030303
749.634639696587 209 524.167324491326 "uLSIF" 1 2 3 3.33838383838384
763.433719433719 223 531.323656915083 "uLSIF" 1 2 3 3.37373737373737
766.236772486772 244 534.326044047995 "uLSIF" 1 2 3 3.40909090909091
771.571234735414 263 537.830738120357 "uLSIF" 1 2 3 3.44444444444444
788.934357541899 284 542.837545937499 "uLSIF" 1 2 3 3.47979797979798
803.982905982906 298 552.566673244688 "uLSIF" 1 2 3 3.51515151515152
812.046242774567 308 554.766240024793 "uLSIF" 1 2 3 3.55050505050505
818.841010401189 327 554.451294594529 "uLSIF" 1 2 3 3.58585858585859
832.03358778626 345 554.326760937574 "uLSIF" 1 2 3 3.62121212121212
841.03453689168 363 560.814697196401 "uLSIF" 1 2 3 3.65656565656566
842.695299837925 383 558.094143125968 "uLSIF" 1 2 3 3.69191919191919
853.439267886855 399 556.701955019137 "uLSIF" 1 2 3 3.72727272727273
855.864027538726 419 559.550894819592 "uLSIF" 1 2 3 3.76262626262626
868.976909413854 437 565.406622646099 "uLSIF" 1 2 3 3.7979797979798
863.910583941606 452 563.890920349237 "uLSIF" 1 2 3 3.83333333333333
883.565217391304 471 564.19171870433 "uLSIF" 1 2 3 3.86868686868687
884.998015873016 496 563.33123251853 "uLSIF" 1 2 3 3.9040404040404
895.697916666667 520 570.108807689597 "uLSIF" 1 2 3 3.93939393939394
896.672451193059 539 566.033144559056 "uLSIF" 1 2 3 3.97474747474747
898.033482142857 552 566.415374925947 "uLSIF" 1 2 3 4.01010101010101
900.671232876712 562 566.655620190668 "uLSIF" 1 2 3 4.04545454545454
912.451990632318 573 571.767660563463 "uLSIF" 1 2 3 4.08080808080808
918.942168674699 585 573.99234667264 "uLSIF" 1 2 3 4.11616161616162
919.916030534351 607 575.666796669988 "uLSIF" 1 2 3 4.15151515151515
926.277333333333 625 579.581656147434 "uLSIF" 1 2 3 4.18686868686869
930.322314049587 637 574.622271533828 "uLSIF" 1 2 3 4.22222222222222
931.162241887906 661 576.089628948431 "uLSIF" 1 2 3 4.25757575757576
942.608832807571 683 572.330389156573 "uLSIF" 1 2 3 4.29292929292929
948.771241830065 694 569.247250976258 "uLSIF" 1 2 3 4.32828282828283
948.628378378378 704 570.799430836073 "uLSIF" 1 2 3 4.36363636363636
954.14590747331 719 568.14984510437 "uLSIF" 1 2 3 4.3989898989899
951.208955223881 732 564.036217853597 "uLSIF" 1 2 3 4.43434343434343
954.639215686274 745 568.001465313081 "uLSIF" 1 2 3 4.46969696969697
951.273858921162 759 574.015366828679 "uLSIF" 1 2 3 4.50505050505051
957.2096069869 771 574.936106056709 "uLSIF" 1 2 3 4.54040404040404
961.538461538462 779 580.740682714274 "uLSIF" 1 2 3 4.57575757575758
957.509345794393 786 583.105332294898 "uLSIF" 1 2 3 4.61111111111111
967.295 800 580.846417548472 "uLSIF" 1 2 3 4.64646464646465
979.708994708995 811 583.912359510293 "uLSIF" 1 2 3 4.68181818181818
993.44262295082 817 584.490673120206 "uLSIF" 1 2 3 4.71717171717172
990.33918128655 829 579.702420250279 "uLSIF" 1 2 3 4.75252525252525
985.939024390244 836 583.876107699742 "uLSIF" 1 2 3 4.78787878787879
1021.98051948052 846 582.853410093177 "uLSIF" 1 2 3 4.82323232323232
1019.5033557047 851 584.866416073641 "uLSIF" 1 2 3 4.85858585858586
1035.4965034965 857 583.18274228854 "uLSIF" 1 2 3 4.89393939393939
1044.25899280576 861 584.115264807886 "uLSIF" 1 2 3 4.92929292929293
1048.13235294118 864 579.663207565215 "uLSIF" 1 2 3 4.96464646464646
1050.91603053435 869 586.442062692378 "uLSIF" 1 2 3 5
